[Blitzen] Log Data
Compile Date:Oct 24 2022 Time:18:58:31

LineNo,Pattern,SPEED,ハンドル,左後モータ,右後モータ,左前モータ,右前モータ,psd,sensor,centor,距離,トータル距離
0262,053,01638,-64,0050,0050,0050,0050,00092,00000,00000,05961,00000
0263,053,01456,-68,0050,0050,0050,0050,00092,00000,00000,05977,00000
0264,053,01001,-74,0050,0050,0050,0050,00092,00000,00000,05988,00000
0265,053,01638,-72,0050,0050,0050,0050,00100,00000,00000,06006,00000
0266,053,01547,-73,0050,0050,0050,0050,00104,00001,00000,06023,00000
0267,053,01547,-74,0050,0050,0050,0050,00099,00001,00000,06040,00000
0268,054,01001,-75,0030,0060,0030,0070,00099,00000,00001,06051,00000
0269,011,01638,-71,0100,0100,0100,0100,00108,00000,00001,06069,00000
0270,061,01729,-65,-100,-100,-100,-100,00109,00008,00000,06088,00000
0271,061,01456,-59,-100,-100,-100,-100,00109,00008,00000,06104,00000
0272,061,01001,-50,-100,-100,-100,-100,00109,00000,00000,06115,00000
0273,063,01365,-41,0050,0050,0050,0050,00125,00000,00000,06130,00000
0274,063,01456,-26,0050,0050,0050,0050,00124,00000,00000,06146,00000
0275,063,01274,-10,0050,0050,0050,0050,00124,00000,00000,06160,00000
0276,063,01183,007,0050,0050,0050,0050,00124,00008,00000,06173,00000
0277,063,00910,023,0050,0050,0050,0050,00125,00008,00000,06183,00000
0278,063,01365,040,0050,0050,0050,0050,00125,00008,00000,06198,00000
0279,011,01456,051,0100,0100,0100,0100,00125,00000,00001,06214,00000
0280,011,01456,059,0100,0100,0100,0100,00131,00000,00001,06230,00000
0281,011,01456,062,0100,0100,0100,0100,00125,00000,00001,06246,00000
0282,011,01001,061,0100,0100,0100,0100,00124,00000,00001,06257,00000
0283,011,01729,056,0100,0100,0100,0100,00124,00000,00001,06276,00000
0284,011,01638,051,0100,0100,0100,0100,00125,00000,00001,06294,00000
0285,011,01638,045,0100,0100,0100,0100,00134,00000,00001,06312,00000
0286,011,01365,039,0100,0100,0100,0100,00133,00000,00001,06327,00000
0287,011,02002,031,0100,0100,0100,0100,00134,00000,00001,06349,00000
0288,011,01911,031,0100,0100,0100,0100,00134,00000,00001,06370,00000
0289,011,01456,032,0100,0100,0100,0100,00117,00000,00001,06386,00000
0290,011,02093,031,0100,0100,0100,0100,00117,00000,00001,06409,00000
0291,011,02093,031,0100,0100,0100,0100,00117,00000,00001,06432,00000
0292,011,01911,030,0100,0100,0100,0100,00116,00000,00001,06453,00000
0293,011,01911,026,0100,0100,0100,0100,00105,00000,00001,06474,00000
0294,011,02366,023,0100,0100,0100,0100,00104,00000,00001,06500,00000
0295,011,01911,022,0100,0100,0100,0100,00104,00000,00001,06521,00000
0296,011,02093,023,0100,0100,0100,0100,00109,00000,00001,06544,00000
0297,011,02457,022,0100,0100,0100,0100,00084,00000,00001,06571,00000
0298,011,01911,022,0100,0100,0100,0100,00082,00000,00001,06592,00000
0299,011,02548,021,0100,0100,0100,0100,00083,00000,00001,06620,00000
0300,011,02457,020,0100,0100,0100,0100,00083,00000,00001,06647,00000
0301,011,02184,019,0100,0100,0100,0100,00105,00000,00001,06671,00000
0302,011,02184,017,0100,0100,0100,0100,00103,00000,00001,06695,00000
0303,011,02275,014,0100,0100,0100,0100,00104,00000,00001,06720,00000
0304,011,02366,013,0100,0100,0100,0100,00104,00000,00001,06746,00000
0305,011,02912,011,-100,-100,-100,-100,00119,00000,00001,06778,00000
0306,011,02184,013,0100,0100,0100,0100,00117,00000,00001,06802,00000
0307,011,02912,016,-100,-100,-100,-100,00120,00000,00001,06834,00000
0308,011,02457,020,0100,0100,0100,0100,00116,00000,00001,06861,00000
0309,011,02184,023,0100,0100,0100,0100,00109,00000,00001,06885,00000
0310,011,02730,025,-040,-040,-040,-040,00109,00000,00001,06915,00000
0311,011,02002,026,0100,0100,0100,0100,00120,00000,00001,06937,00000
0312,011,02639,027,-010,-010,-010,-010,00113,00000,00001,06966,00000
0313,011,02275,028,0100,0100,0100,0100,00113,00000,00001,06991,00000
0314,011,02002,030,0100,0100,0100,0100,00111,00000,00001,07013,00000
0315,011,02639,033,-010,-010,-010,-010,00112,00000,00001,07042,00000
0316,011,02093,037,0100,0100,0100,0100,00112,00000,00001,07065,00000
0317,011,02366,037,0100,0100,0100,0100,00100,00000,00001,07091,00000
0318,011,02457,038,0100,0100,0100,0100,00100,00000,00001,07118,00000
0319,011,01911,037,0100,0100,0100,0100,00100,00000,00001,07139,00000
0320,011,02639,039,-010,-010,-010,-010,00100,00000,00001,07168,00000
0321,011,02548,044,0100,0100,0100,0100,00076,00000,00001,07196,00000
0322,011,02093,046,0100,0100,0100,0100,00076,00000,00001,07219,00000
0323,011,02548,050,0100,0100,0100,0100,00075,00000,00001,07247,00000
0324,011,02093,053,0100,0100,0100,0100,00075,00000,00001,07270,00000
0325,011,02548,056,0100,0100,0100,0100,00076,00000,00001,07298,00000
0326,011,02275,062,0100,0100,0100,0100,00081,00000,00001,07323,00000
0327,011,02002,066,0100,0100,0100,0100,00080,00000,00001,07345,00000
0328,011,02639,072,-010,-010,-010,-010,00074,00000,00001,07374,00000
0329,011,02548,075,0100,0100,0100,0100,00084,00000,00001,07402,00000
0330,011,02275,074,0100,0100,0100,0100,00083,00000,00001,07427,00000
0331,011,02639,072,-010,-010,-010,-010,00083,00000,00001,07456,00000
0332,011,02093,069,0100,0100,0100,0100,00082,00000,00001,07479,00000
0333,011,02639,071,-010,-010,-010,-010,00072,00000,00001,07508,00000
